               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091027,            0.072414,                   0,             0.55895,             0.58082,             0.58603,             0.12647,            0.081543,             0.04579,                   0,           0.0033141,           0.0033141,            0.070173
                   1,            0.070009,            0.057796,                   0,             0.43417,             0.87585,             0.48958,             0.14315,             0.05267,            0.048264,                   0,           0.0064594,           0.0064594,            0.039985
                   2,             0.06075,            0.057682,                   0,             0.57869,              0.6976,              0.6935,             0.27729,            0.051225,            0.048407,                   0,           0.0094161,           0.0094161,           0.0096088
                   3,            0.051628,            0.055833,                   0,             0.86166,             0.94558,             0.93732,             0.53684,            0.037914,            0.042024,                   0,           0.0091514,           0.0091514,           0.0091514
                   4,            0.043225,            0.053742,                   0,             0.95796,             0.91641,             0.97942,              0.5634,            0.035453,            0.040577,                   0,           0.0091514,           0.0091514,           0.0091514
                   5,            0.038392,            0.049864,                   0,             0.96144,             0.95004,             0.98625,             0.65865,            0.030149,             0.03816,                   0,           0.0088686,           0.0088686,           0.0088686
                   6,            0.034858,            0.049699,                   0,              0.9544,             0.95204,             0.98479,             0.62855,            0.030367,              0.0383,                   0,           0.0085857,           0.0085857,           0.0085857
                   7,             0.03586,            0.048338,                   0,             0.95536,             0.96312,             0.98757,             0.66495,            0.029832,            0.038325,                   0,           0.0083029,           0.0083029,           0.0083029
                   8,            0.032904,            0.049357,                   0,             0.95961,             0.96366,             0.98867,             0.68007,            0.027578,            0.037443,                   0,             0.00802,             0.00802,             0.00802
                   9,            0.032836,            0.047931,                   0,             0.96439,             0.96551,             0.98863,             0.65329,            0.029297,            0.038068,                   0,           0.0077371,           0.0077371,           0.0077371
                  10,            0.031305,             0.04593,                   0,              0.9522,             0.96731,             0.98844,             0.67062,            0.028547,            0.037299,                   0,           0.0074543,           0.0074543,           0.0074543
